web-scraper-order,web-scraper-start-url,name,review,review_content,time_published,owner_response,owner_response_time
"1583045349-544","https://www.google.com/maps/place/Cal'z+Pizza/@36.8024512,-76.0894311,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89babff66a22f545:0xd9ae9bde56bdfa53!8m2!3d36.8024469!4d-76.0872424!9m1!1b1","David Orefice","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""11802""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""11801""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""11800""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""11799""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""11798""></span>","","4 years ago","null","null"
"1583045312-338","https://www.google.com/maps/place/Cal'z+Pizza,+Subs,+%26+Wings/@36.9280001,-76.3204054,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba997fe35fa873:0x2f9cad30eab3df04!8m2!3d36.9279958!4d-76.3182167!9m1!1b1","we've heard it all before","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2751""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""2750""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""2749""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""2748""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""2747""></span>","Had lovef Calz for years ....left the area for a few ....Bragged to co workers..wish I hadn't.","a year ago","Response from the owner","a year ago"
"1583045349-520","https://www.google.com/maps/place/Cal'z+Pizza/@36.8024512,-76.0894311,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89babff66a22f545:0xd9ae9bde56bdfa53!8m2!3d36.8024469!4d-76.0872424!9m1!1b1","Saving Us","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""10488""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""10487""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""10486""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""10485""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""10484""></span>","","a year ago","null","null"
"1583045434-938","https://www.google.com/maps/place/Cal'z+Pizza/@36.8892982,-76.2401211,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba97105a1b04ff:0x7d78aae300af2ddc!8m2!3d36.8892939!4d-76.2379324!9m1!1b1","Tonya Wright","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12538""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12537""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12536""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12535""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12534""></span>","Great subs and service!","2 years ago","null","null"
"1583045296-278","https://www.google.com/maps/place/Cal'z+Pizza/@36.8565404,-75.9934831,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89bae97d1367a93d:0xfda52320b605a9c9!8m2!3d36.8565361!4d-75.9912944!9m1!1b1","haywood cross","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""8582""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""8581""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""8580""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""8579""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""8578""></span>","Chicken Just Great !!! Hot Food Always !!! Good Location !!! Service !!! Excellent !!!!","11 months ago","null","null"
"1583045296-157","https://www.google.com/maps/place/Cal'z+Pizza/@36.8565404,-75.9934831,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89bae97d1367a93d:0xfda52320b605a9c9!8m2!3d36.8565361!4d-75.9912944!9m1!1b1","Bruce Croxton","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1007""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1006""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1005""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1004""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1003""></span>","Awesome staff. Prices very reasonable. Great menu selections.","7 months ago","null","null"
"1583045349-379","https://www.google.com/maps/place/Cal'z+Pizza/@36.8024512,-76.0894311,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89babff66a22f545:0xd9ae9bde56bdfa53!8m2!3d36.8024469!4d-76.0872424!9m1!1b1","Kristina Arnold","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1681""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1680""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1679""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1678""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1677""></span>","Five stars because they have the Galaga arcade game! Ms Pac-Man too. The food is pretty good, also! The only downer is that they don't have a white sauce substitute for pizzas, but what they do have it great food! This is one of my family's favs.","8 months ago","null","null"
"1583045349-551","https://www.google.com/maps/place/Cal'z+Pizza/@36.8024512,-76.0894311,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89babff66a22f545:0xd9ae9bde56bdfa53!8m2!3d36.8024469!4d-76.0872424!9m1!1b1","Marcos Blanco","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12448""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12447""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12446""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12445""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""12444""></span>","","3 months ago","null","null"
"1583045349-392","https://www.google.com/maps/place/Cal'z+Pizza/@36.8024512,-76.0894311,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89babff66a22f545:0xd9ae9bde56bdfa53!8m2!3d36.8024469!4d-76.0872424!9m1!1b1","Brittany Gwin","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2083""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2082""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2081""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2080""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2079""></span>","Delicious & worth the wait","10 months ago","null","null"
"1583045434-808","https://www.google.com/maps/place/Cal'z+Pizza/@36.8892982,-76.2401211,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba97105a1b04ff:0x7d78aae300af2ddc!8m2!3d36.8892939!4d-76.2379324!9m1!1b1","Patsy Lowe","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""3169""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""3168""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""3167""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""3166""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""3165""></span>","The subs are very good","5 months ago","null","null"
"1583045296-173","https://www.google.com/maps/place/Cal'z+Pizza/@36.8565404,-75.9934831,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89bae97d1367a93d:0xfda52320b605a9c9!8m2!3d36.8565361!4d-75.9912944!9m1!1b1","Monica Annette Cox","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2290""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2289""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2288""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2287""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2286""></span>","The Dough Nibblers are out of this world!","6 months ago","null","null"
"1583045269-128","https://www.google.com/maps/place/Cal'z+Pizza/@36.7991889,-76.0106237,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89bac1e5c988ef27:0x759a112f1cae319b!8m2!3d36.7991846!4d-76.008435!9m1!1b1","celeste franklin","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1999""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1998""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1997""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1996""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1995""></span>","I love Calz wings and salads and subs♡♡♡♡","2 years ago","null","null"
"1583045349-488","https://www.google.com/maps/place/Cal'z+Pizza/@36.8024512,-76.0894311,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89babff66a22f545:0xd9ae9bde56bdfa53!8m2!3d36.8024469!4d-76.0872424!9m1!1b1","Mike Rilee","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""7462""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""7461""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""7460""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""7459""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""7458""></span>","","8 months ago","null","null"
"1583045296-283","https://www.google.com/maps/place/Cal'z+Pizza/@36.8565404,-75.9934831,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89bae97d1367a93d:0xfda52320b605a9c9!8m2!3d36.8565361!4d-75.9912944!9m1!1b1","Carolin P","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""9570""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""9569""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""9568""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""9567""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""9566""></span>","Delicious Pizza","2 years ago","null","null"
"1583045394-670","https://www.google.com/maps/place/Cal'z+Pizza/@36.9340261,-76.2473017,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba90c702ded661:0x6332289ee5a67106!8m2!3d36.9340218!4d-76.245113!9m1!1b1","Jenna Bjorgen","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1699""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1698""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1697""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1696""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1695""></span>","We added a special request to our delivery stating we would give an extra cash tip if they could fulfill the requests. It probably would have been a big fat no, but by coincidence, our deliverer lived in our neighborhood, and stopped at his own place to help us out. 5 stars for the delivery! Thanks guy!","a year ago","null","null"
"1583045269-116","https://www.google.com/maps/place/Cal'z+Pizza/@36.7991889,-76.0106237,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89bac1e5c988ef27:0x759a112f1cae319b!8m2!3d36.7991846!4d-76.008435!9m1!1b1","Jaliese Holton","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1553""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""1552""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""1551""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""1550""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""1549""></span>","I called at 9:16 they told me they stop delivering at 9:15 and i couldn’t order . what’s 1 minute? Horrible customer service","a year ago","null","null"
"1583045394-682","https://www.google.com/maps/place/Cal'z+Pizza/@36.9340261,-76.2473017,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba90c702ded661:0x6332289ee5a67106!8m2!3d36.9340218!4d-76.245113!9m1!1b1","Jennifer Minor","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2146""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2145""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2144""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2143""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2142""></span>","I have been enjoying this place alot the past few years and always forget to write a review,  so... here ya go; club sub is the bees knees. It's always on point. Pizza, always great. Just the right thickness IMO. Service is great. We've …","a year ago","null","null"
"1583045349-370","https://www.google.com/maps/place/Cal'z+Pizza/@36.8024512,-76.0894311,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89babff66a22f545:0xd9ae9bde56bdfa53!8m2!3d36.8024469!4d-76.0872424!9m1!1b1","Tawana Haynes","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1116""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1115""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1114""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1113""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1112""></span>","Wings are great! Crispy like I like it!","a month ago","null","null"
"1583045349-382","https://www.google.com/maps/place/Cal'z+Pizza/@36.8024512,-76.0894311,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89babff66a22f545:0xd9ae9bde56bdfa53!8m2!3d36.8024469!4d-76.0872424!9m1!1b1","carla martin","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1543""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1542""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1541""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1540""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1539""></span>","The wings were excellent!!! My husband and I  loved the pizza also!","8 months ago","null","null"
"1583045434-789","https://www.google.com/maps/place/Cal'z+Pizza/@36.8892982,-76.2401211,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba97105a1b04ff:0x7d78aae300af2ddc!8m2!3d36.8892939!4d-76.2379324!9m1!1b1","Jaylen Drewitt","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1976""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1975""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1974""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1973""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1972""></span>","Staff is awesome and food is great!","a year ago","null","null"
"1583045349-426","https://www.google.com/maps/place/Cal'z+Pizza/@36.8024512,-76.0894311,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89babff66a22f545:0xd9ae9bde56bdfa53!8m2!3d36.8024469!4d-76.0872424!9m1!1b1","Alex Corley","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""3638""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""3637""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""3636""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""3635""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""3634""></span>","Dirty,shady unprofessional employee's, I know the type I have worked  in construction for over 20 years,and the employees here set off all the red flags,didn't even eat the pizza.","11 months ago","null","null"
"1583045434-825","https://www.google.com/maps/place/Cal'z+Pizza/@36.8892982,-76.2401211,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba97105a1b04ff:0x7d78aae300af2ddc!8m2!3d36.8892939!4d-76.2379324!9m1!1b1","Johnta Cason","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""4533""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""4532""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4531""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4530""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4529""></span>","Sold my food to somebody else and I was sitting right inside waiting for it gave me my stuff for free after I had to wait a extra 30 min and still messed that up","7 months ago","null","null"
"1583045434-837","https://www.google.com/maps/place/Cal'z+Pizza/@36.8892982,-76.2401211,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba97105a1b04ff:0x7d78aae300af2ddc!8m2!3d36.8892939!4d-76.2379324!9m1!1b1","Steven Peoples","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""5080""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""5079""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""5078""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""5077""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""5076""></span>","They Burnt 1 sub , Another 1 with the meat of a half sub on a footlong sub , Another 1 they used the hardest part of the lettuce on at least you could take it off the sub . 2 of the 5 subs were made right . Had to call and check and see …","5 months ago","null","null"
"1583045434-791","https://www.google.com/maps/place/Cal'z+Pizza/@36.8892982,-76.2401211,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba97105a1b04ff:0x7d78aae300af2ddc!8m2!3d36.8892939!4d-76.2379324!9m1!1b1","Maureen L","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1882""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1881""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1880""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1879""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1878""></span>","Pizza was good and hot wings good. We like plenty hot sauce.  Just pricy for the wings and no military discount. Glad the first responders get a discount. Manager was very nice and friendly. Will go back because of the manager.","a year ago","null","null"
"1583045349-447","https://www.google.com/maps/place/Cal'z+Pizza/@36.8024512,-76.0894311,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89babff66a22f545:0xd9ae9bde56bdfa53!8m2!3d36.8024469!4d-76.0872424!9m1!1b1","Nathaniel Zukerman","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""4850""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""4849""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""4848""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""4847""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4846""></span>","Great food","a year ago","null","null"
